设备号,喜爱频道,时间段,类型id,直播次数,直播天数,回看次数,回看天数,点播次数,点播天数,单片点播次数,单片点播天数,target,target_name,观看时间段,喜爱类型
10001,1,4,1,9,7,1,1,1,1,21,9,1,乐惠套餐,晚上,动画
10013,3,3,1,308,77,3,3,0,0,436,71,1,乐惠套餐,下午,动画
10027,14,4,2,777,83,5,3,0,0,48,20,1,乐惠套餐,晚上,真人秀
10029,1,4,3,15,6,0,0,0,0,5,2,2,融合套餐,晚上,喜剧
10032,140,4,4,218,72,26,16,0,0,182,52,1,乐惠套餐,晚上,剧情
10033,233,4,4,11,9,3,2,0,0,34,7,1,乐惠套餐,晚上,剧情
10036,123,4,4,124,50,6,4,2,2,162,47,1,乐惠套餐,晚上,剧情
10037,168,4,5,1166,83,50,24,0,0,94,30,1,乐惠套餐,晚上,奇幻
10040,7,4,4,1045,82,0,0,3,3,4,3,1,乐惠套餐,晚上,剧情
10052,28,4,3,153,44,3,1,0,0,6,3,1,乐惠套餐,晚上,喜剧
10054,3,3,2,243,37,0,0,0,0,8,2,2,融合套餐,下午,真人秀
10055,6,3,1,4,2,5,3,0,0,202,37,2,融合套餐,下午,动画
10058,5,4,4,338,68,64,32,66,35,136,51,2,融合套餐,晚上,剧情
10073,168,4,1,665,75,12,4,0,0,23,7,1,乐惠套餐,晚上,动画
10079,31,4,2,19,15,3,2,0,0,41,11,2,融合套餐,晚上,真人秀
10090,1,4,3,12,5,0,0,1,1,4,2,2,融合套餐,晚上,喜剧
10106,1,4,2,117,34,1,1,0,0,60,17,1,乐惠套餐,晚上,真人秀
10136,5,4,4,297,59,35,13,0,0,83,24,3,月享套餐,晚上,剧情
10140,123,4,10,86,46,12,11,0,0,95,35,1,乐惠套餐,晚上,冒险
10146,16,4,1,195,46,1,1,2,2,2,2,1,乐惠套餐,晚上,动画
10157,128,3,7,388,65,20,12,0,0,49,16,2,融合套餐,下午,惊悚
10162,5,4,2,65,27,0,0,0,0,46,13,1,乐惠套餐,晚上,真人秀
10164,6,4,4,39,20,5,3,0,0,8,4,3,月享套餐,晚上,剧情
10182,105,4,4,172,38,6,5,0,0,44,22,1,乐惠套餐,晚上,剧情
10191,106,4,4,194,52,23,15,0,0,108,32,1,乐惠套餐,晚上,剧情
10193,123,3,4,173,42,0,0,0,0,3,2,1,乐惠套餐,下午,剧情
10195,123,4,1,240,70,119,45,1,1,1,1,2,融合套餐,晚上,动画
10198,1,3,4,285,71,46,19,0,0,102,41,1,乐惠套餐,下午,剧情
10202,1,4,1,240,81,40,17,0,0,516,88,2,融合套餐,晚上,动画
10208,6,4,2,135,48,0,0,18,12,20,13,2,融合套餐,晚上,真人秀
10209,6,3,2,4,2,7,4,0,0,7,5,1,乐惠套餐,下午,真人秀
10224,12,4,3,168,46,13,5,1,1,37,15,1,乐惠套餐,晚上,喜剧
10230,3,3,1,14,6,8,3,1,1,8,4,1,乐惠套餐,下午,动画
10236,16,3,4,487,77,211,60,0,0,338,58,1,乐惠套餐,下午,剧情
10237,118,3,1,188,25,0,0,0,0,10,4,2,融合套餐,下午,动画
10242,106,3,4,374,61,6,6,0,0,21,17,1,乐惠套餐,下午,剧情
10250,123,4,4,2,2,0,0,0,0,15,4,1,乐惠套餐,晚上,剧情
10255,128,4,4,347,82,6,4,0,0,624,81,1,乐惠套餐,晚上,剧情
10263,123,4,4,10,10,0,0,0,0,193,36,1,乐惠套餐,晚上,剧情
10266,3,4,4,315,67,1,1,0,0,94,31,1,乐惠套餐,晚上,剧情
10267,3,4,4,154,72,25,16,0,0,42,23,1,乐惠套餐,晚上,剧情
10272,123,4,4,517,85,24,10,0,0,181,51,1,乐惠套餐,晚上,剧情
10276,3,3,4,192,34,27,15,0,0,73,22,1,乐惠套餐,下午,剧情
10279,3,4,2,9,3,7,5,0,0,5,4,1,乐惠套餐,晚上,真人秀
10280,1,4,2,160,46,0,0,3,3,91,37,2,融合套餐,晚上,真人秀
10290,123,4,1,246,72,25,11,0,0,194,59,1,乐惠套餐,晚上,动画
10298,123,4,13,92,41,20,12,1,1,27,14,1,乐惠套餐,晚上,动作
10299,123,4,1,59,31,51,26,1,1,4,1,2,融合套餐,晚上,动画
10308,3,4,2,12,11,20,13,0,0,77,36,1,乐惠套餐,晚上,真人秀
10314,7,4,15,479,73,21,12,0,0,38,13,1,乐惠套餐,晚上,科幻
10327,5,1,4,9,6,11,4,0,0,12,4,1,乐惠套餐,凌晨,剧情
10332,5,4,4,176,38,0,0,0,0,12,6,1,乐惠套餐,晚上,剧情
10334,123,4,4,442,82,7,6,0,0,20,9,1,乐惠套餐,晚上,剧情
10339,123,4,4,209,49,34,17,0,0,55,23,1,乐惠套餐,晚上,剧情
10351,20,3,4,805,81,2,1,0,0,90,34,1,乐惠套餐,下午,剧情
10353,1,3,15,1,1,0,0,0,0,1,1,1,乐惠套餐,下午,科幻
10356,123,4,3,320,83,9,5,0,0,112,35,1,乐惠套餐,晚上,喜剧
10387,165,4,4,43,20,0,0,0,0,4,1,1,乐惠套餐,晚上,剧情
10393,129,4,2,537,73,178,55,0,0,50,20,2,融合套餐,晚上,真人秀
10403,105,4,4,69,37,2,1,0,0,178,38,1,乐惠套餐,晚上,剧情
10412,123,4,4,251,64,37,12,0,0,95,23,1,乐惠套餐,晚上,剧情
10425,22,4,1,497,62,8,7,1,1,171,31,1,乐惠套餐,晚上,动画
10442,166,4,4,79,29,4,2,0,0,526,80,1,乐惠套餐,晚上,剧情
10443,106,4,12,21,9,8,3,0,0,6,5,1,乐惠套餐,晚上,爱情
10449,1,3,13,40,17,20,8,2,2,5,3,1,乐惠套餐,下午,动作
10454,1,4,4,788,92,0,0,0,0,129,41,1,乐惠套餐,晚上,剧情
10457,6,2,4,165,48,14,9,0,0,80,28,1,乐惠套餐,上午,剧情
10460,1,4,10,55,32,28,13,2,1,112,20,1,乐惠套餐,晚上,冒险
10468,4,3,4,1014,90,366,56,0,0,134,35,1,乐惠套餐,下午,剧情
10470,123,4,4,89,33,6,4,0,0,191,25,3,月享套餐,晚上,剧情
10478,140,4,13,74,30,3,2,0,0,43,19,1,乐惠套餐,晚上,动作
10489,165,4,4,189,38,4,2,0,0,219,41,1,乐惠套餐,晚上,剧情
10500,225,2,1,4,2,0,0,9,2,9,2,2,融合套餐,上午,动画
10501,106,4,1,154,54,104,41,0,0,581,59,1,乐惠套餐,晚上,动画
10513,123,4,16,183,54,11,5,0,0,42,20,1,乐惠套餐,晚上,脱口秀
10515,1,2,15,4,3,0,0,0,0,8,2,1,乐惠套餐,上午,科幻
10521,167,4,4,334,86,0,0,0,0,11,7,1,乐惠套餐,晚上,剧情
10539,11,4,13,603,70,0,0,0,0,2,2,1,乐惠套餐,晚上,动作
10545,116,3,4,633,70,16,10,0,0,116,41,1,乐惠套餐,下午,剧情
10547,105,4,4,610,81,99,29,0,0,66,20,1,乐惠套餐,晚上,剧情
10550,233,4,1,32,20,3,2,0,0,176,40,2,融合套餐,晚上,动画
10557,16,4,4,415,57,0,0,0,0,183,27,1,乐惠套餐,晚上,剧情
10566,3,4,4,95,56,118,17,0,0,428,70,1,乐惠套餐,晚上,剧情
10572,107,2,1,390,75,69,44,2,2,14,7,1,乐惠套餐,上午,动画
10575,106,4,2,272,75,142,56,0,0,58,19,2,融合套餐,晚上,真人秀
10587,123,3,4,25,18,0,0,0,0,18,7,1,乐惠套餐,下午,剧情
10604,28,4,18,80,38,9,7,0,0,31,20,1,乐惠套餐,晚上,音乐
10605,114,4,13,143,48,45,21,0,0,41,17,1,乐惠套餐,晚上,动作
10612,5,4,4,2,2,1,1,0,0,5,2,1,乐惠套餐,晚上,剧情
10626,139,4,4,32,8,6,2,0,0,4,3,1,乐惠套餐,晚上,剧情
10630,5,4,4,306,50,0,0,28,11,15,9,2,融合套餐,晚上,剧情
10652,1,4,4,191,61,4,3,1,1,203,55,1,乐惠套餐,晚上,剧情
10656,1,4,4,313,63,0,0,0,0,201,45,1,乐惠套餐,晚上,剧情
10659,2,4,4,7,5,0,0,0,0,3,2,2,融合套餐,晚上,剧情
10662,123,4,2,82,42,35,10,1,1,74,29,1,乐惠套餐,晚上,真人秀
10681,3,4,4,42,16,18,10,0,0,5,1,1,乐惠套餐,晚上,剧情
10684,6,3,13,640,88,34,20,5,5,564,79,1,乐惠套餐,下午,动作
10690,128,3,4,648,84,0,0,0,0,7,4,1,乐惠套餐,下午,剧情
10703,130,4,13,19,12,0,0,4,4,306,52,1,乐惠套餐,晚上,动作
10704,128,3,1,347,49,20,11,0,0,8,2,2,融合套餐,下午,动画
10718,105,4,4,127,53,6,4,0,0,17,11,1,乐惠套餐,晚上,剧情
10719,118,3,1,841,83,0,0,0,0,4,2,2,融合套餐,下午,动画
10725,168,4,4,748,59,0,0,0,0,25,6,1,乐惠套餐,晚上,剧情
10732,105,4,4,256,81,87,40,0,0,147,47,1,乐惠套餐,晚上,剧情
10736,3,4,4,211,52,9,4,0,0,5,4,1,乐惠套餐,晚上,剧情
10737,170,4,13,362,57,1,1,0,0,97,30,1,乐惠套餐,晚上,动作
10752,0,0,4,0,0,0,0,0,0,3,2,1,乐惠套餐,none,剧情
10757,4,4,4,35,15,70,17,0,0,34,11,1,乐惠套餐,晚上,剧情
10759,116,4,1,230,58,0,0,0,0,63,29,1,乐惠套餐,晚上,动画
10760,164,4,1,31,19,13,10,0,0,15,8,1,乐惠套餐,晚上,动画
10774,5,4,3,83,37,11,3,0,0,47,23,1,乐惠套餐,晚上,喜剧
10779,5,4,4,177,56,4,2,193,24,702,78,1,乐惠套餐,晚上,剧情
10780,133,4,4,204,44,29,10,0,0,166,28,1,乐惠套餐,晚上,剧情
10781,6,4,4,126,35,2,2,7,4,56,24,1,乐惠套餐,晚上,剧情
10785,7,4,1,114,24,0,0,2,2,5,2,2,融合套餐,晚上,动画
10788,6,3,8,797,82,23,12,9,6,28,16,2,融合套餐,下午,犯罪
10792,105,3,4,237,57,0,0,0,0,131,23,1,乐惠套餐,下午,剧情
10797,16,4,4,344,75,32,25,0,0,89,31,1,乐惠套餐,晚上,剧情
10957,151,3,1,409,85,0,0,0,0,92,20,2,融合套餐,下午,动画
10970,6,4,4,50,23,0,0,0,0,35,10,1,乐惠套餐,晚上,剧情
10988,105,3,12,314,77,35,15,0,0,21,11,1,乐惠套餐,下午,爱情
11000,6,3,3,79,25,0,0,0,0,5,2,2,融合套餐,下午,喜剧
11020,5,4,4,62,31,23,12,0,0,110,24,1,乐惠套餐,晚上,剧情
11021,18,4,4,364,73,19,15,0,0,27,11,1,乐惠套餐,晚上,剧情
11032,128,4,5,242,56,13,7,0,0,4,2,2,融合套餐,晚上,奇幻
11035,120,4,3,208,52,0,0,0,0,34,16,1,乐惠套餐,晚上,喜剧
11037,23,3,1,862,67,6,4,0,0,58,8,1,乐惠套餐,下午,动画
11039,1,4,4,77,19,0,0,0,0,22,5,1,乐惠套餐,晚上,剧情
11045,165,2,16,507,90,0,0,0,0,3,3,1,乐惠套餐,上午,脱口秀
11047,4,4,3,493,75,86,34,0,0,9,4,1,乐惠套餐,晚上,喜剧
11062,123,4,3,226,46,1,1,0,0,13,7,1,乐惠套餐,晚上,喜剧
11075,1,4,4,5,4,0,0,0,0,14,9,1,乐惠套餐,晚上,剧情
11089,3,4,2,490,70,53,24,0,0,5,1,3,月享套餐,晚上,真人秀
11092,6,3,4,221,41,41,20,3,3,216,40,1,乐惠套餐,下午,剧情
11095,18,4,4,247,51,0,0,0,0,9,4,2,融合套餐,晚上,剧情
11103,1,4,4,103,27,0,0,0,0,22,7,1,乐惠套餐,晚上,剧情
11105,118,4,4,258,51,0,0,1,1,2,1,2,融合套餐,晚上,剧情
11107,1,4,4,41,20,2,2,0,0,117,28,1,乐惠套餐,晚上,剧情
11115,105,4,3,286,59,30,13,0,0,28,13,1,乐惠套餐,晚上,喜剧
11122,18,4,4,178,36,0,0,0,0,75,16,2,融合套餐,晚上,剧情
11130,105,3,4,313,74,3,3,0,0,244,44,1,乐惠套餐,下午,剧情
11134,123,4,4,68,27,18,10,0,0,24,14,1,乐惠套餐,晚上,剧情
11137,128,4,4,579,48,9,7,0,0,133,22,1,乐惠套餐,晚上,剧情
11139,123,4,4,98,41,21,12,0,0,71,21,1,乐惠套餐,晚上,剧情
