设备号,点播日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号,名称关键字,观看时间,制片,语言,片长,类型
11309,20170701,精彩点,06月07日 金星秀：金星追问邓紫棋爱情史(高清),2017-06-30 22:47:57,2017-07-01 00:08:30,10163,金星秀,60.0,大陆,国语,60,脱口秀
10313,20170701,精彩点,左轮手枪(17)(高清),2017-06-30 23:33:10,2017-07-01 00:08:07,10076,左轮手枪,34.95,大陆,国语,45,剧情 / 战争
10566,20170701,精彩点,太行英雄传(18)(高清),2017-06-30 23:42:17,2017-07-01 00:27:31,10954,太行英雄传,45.0,大陆,国语,45,剧情 / 战争
11085,20170701,精彩点,楚乔传(31)(高清),2017-06-30 23:42:57,2017-07-01 00:20:09,10288,楚乔传,37.2,大陆,国语,45,剧情 / 爱情 / 古装
11196,20170701,精彩点,欢乐颂2(08)(高清),2017-06-30 23:43:02,2017-07-01 00:29:49,11054,欢乐颂2,45.0,大陆,国语,45,剧情 / 爱情
10387,20170701,精彩点,人民的名义(45)(高清),2017-07-01 00:04:05,2017-07-01 00:27:28,10756,人民的名义,23.38333333333333,大陆,国语,55,剧情 / 悬疑 / 犯罪
10641,20170701,精彩点,大军师司马懿之军师联盟(17)(高清),2017-07-01 00:04:12,2017-07-01 01:03:27,10249,大军师司马懿之军师联盟,45.0,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
10329,20170701,精彩点,夏至未至(33)(高清),2017-07-01 00:06:42,2017-07-01 00:12:23,10186,夏至未至,5.683333333333334,大陆,国语,45,剧情 / 爱情
11001,20170701,精彩点,铁道飞虎(高清)(成龙王凯打鬼子),2017-07-01 00:15:52,2017-07-01 00:37:55,10129,铁道飞虎,22.05,大陆,国语 / 日语,124,喜剧 / 动作
11001,20170701,精彩点,铁道飞虎(高清),2017-07-01 00:15:52,2017-07-01 00:37:55,10129,铁道飞虎,22.05,大陆,国语 / 日语,124,喜剧 / 动作
11085,20170701,精彩点,楚乔传(31)(高清),2017-07-01 00:20:08,2017-07-01 00:26:09,10288,楚乔传,6.016666666666667,大陆,国语,45,剧情 / 爱情 / 古装
11085,20170701,精彩点,楚乔传(32)(高清),2017-07-01 00:26:07,2017-07-01 01:12:06,10288,楚乔传,45.0,大陆,国语,45,剧情 / 爱情 / 古装
10387,20170701,精彩点,人民的名义(46)(高清),2017-07-01 00:27:27,2017-07-01 01:03:17,10756,人民的名义,35.83333333333334,大陆,国语,55,剧情 / 悬疑 / 犯罪
11001,20170701,精彩点,铁道飞虎(高清)(成龙王凯打鬼子),2017-07-01 00:37:54,2017-07-01 02:16:23,10129,铁道飞虎,98.48333333333333,大陆,国语 / 日语,124,喜剧 / 动作
11001,20170701,精彩点,铁道飞虎(高清),2017-07-01 00:37:54,2017-07-01 02:16:23,10129,铁道飞虎,98.48333333333333,大陆,国语 / 日语,124,喜剧 / 动作
10413,20170701,精彩点,赌城群英会(02),2017-07-01 01:01:27,2017-07-01 01:37:50,10289,赌城群英会,36.38333333333333,香港,粤语 / 国语,40,剧情 / 动作 / 爱情 / 悬疑 / 犯罪
10387,20170701,精彩点,人民的名义(47)(高清),2017-07-01 01:03:16,2017-07-01 01:54:02,10756,人民的名义,50.76666666666667,大陆,国语,55,剧情 / 悬疑 / 犯罪
10387,20170701,精彩点,人民的名义(48)(高清),2017-07-01 01:54:01,2017-07-01 02:38:10,10756,人民的名义,44.15,大陆,国语,55,剧情 / 悬疑 / 犯罪
11001,20170701,精彩点,06月14日 金星秀：杨立新父子隔空秀默契(高清),2017-07-01 02:18:29,2017-07-01 02:57:50,10129,金星秀,39.35,大陆,国语,60,脱口秀
11001,20170701,精彩点,06月21日 金星秀：男神蔡国庆谈家庭趣事(高清),2017-07-01 02:57:48,2017-07-01 03:28:30,10129,金星秀,30.7,大陆,国语,60,脱口秀
11001,20170701,精彩点,06月28日 金星秀：秦凯何姿接吻狂撒狗粮(高清),2017-07-01 03:28:29,2017-07-01 03:59:59,10129,金星秀,31.5,大陆,国语,60,脱口秀
11001,20170701,精彩点,06月25日 笑声传奇：潘长江变身情圣 宋晓峰为农民工发声(高清),2017-07-01 04:05:35,2017-07-01 05:40:46,10129,笑声传奇,90.0,大陆,国语,90,喜剧 / 真人秀
10703,20170701,精彩点,06月18日 棉花糖和云朵妈妈(高清),2017-07-01 07:07:56,2017-07-01 07:12:21,10929,棉花糖和云朵妈妈,4.416666666666667,大陆,国语,10,儿童
10352,20170701,精彩点,美国队长3(高清)(英雄内战，你撑边队·),2017-07-01 07:26:58,2017-07-01 07:57:29,11207,美国队长3,30.51666666666667,美国,科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,148,动作 / 科幻 / 冒险
10352,20170701,精彩点,美国队长3(高清),2017-07-01 07:26:58,2017-07-01 07:57:29,11207,美国队长3,30.51666666666667,美国,科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,148,动作 / 科幻 / 冒险
10992,20170701,精彩点,左轮手枪(20)(高清),2017-07-01 07:28:10,2017-07-01 07:58:51,10204,左轮手枪,30.68333333333333,大陆,国语,45,剧情 / 战争
11215,20170701,精彩点,夏至未至(32)(高清),2017-07-01 07:36:12,2017-07-01 08:11:51,10384,夏至未至,35.65,大陆,国语,45,剧情 / 爱情
10684,20170701,精彩点,特种部队：眼镜蛇的崛起(高清),2017-07-01 07:42:43,2017-07-01 08:10:07,10770,特种部队,27.4,美国 / 日本,英语,30,动画
10684,20170701,精彩点,特种部队：眼镜蛇的崛起(高清)(铁血毒蛇反击战),2017-07-01 07:42:43,2017-07-01 08:10:07,10770,特种部队,27.4,美国 / 日本,英语,30,动画
10160,20170701,精彩点,夏至未至(32)(高清),2017-07-01 07:44:14,2017-07-01 07:50:44,10209,夏至未至,6.5,大陆,国语,45,剧情 / 爱情
11039,20170701,精彩点,白鹿原(34)(高清),2017-07-01 07:46:42,2017-07-01 08:28:18,10836,白鹿原,41.6,大陆,国语,45,剧情 / 历史
10160,20170701,精彩点,夏至未至(34)(高清),2017-07-01 07:50:42,2017-07-01 07:57:58,10209,夏至未至,7.266666666666667,大陆,国语,45,剧情 / 爱情
10992,20170701,精彩点,左轮手枪(20)(高清),2017-07-01 07:58:50,2017-07-01 08:10:05,10204,左轮手枪,11.25,大陆,国语,45,剧情 / 战争
10992,20170701,精彩点,夏至未至(33)(高清),2017-07-01 08:10:50,2017-07-01 08:27:31,10204,夏至未至,16.68333333333333,大陆,国语,45,剧情 / 爱情
11184,20170701,精彩点,太行英雄传(01)(高清),2017-07-01 08:11:14,2017-07-01 08:29:54,11005,太行英雄传,18.66666666666667,大陆,国语,45,剧情 / 战争
10182,20170701,热点专题,疯狂动物城(高清)(萌系优兽大都会),2017-07-01 08:22:19,2017-07-01 09:41:07,11033,疯狂动物城,78.8,美国,英语 / 挪威语,109,喜剧 / 动画 / 冒险
10112,20170701,精彩点,龙珠传奇(07)(高清),2017-07-01 08:24:11,2017-07-01 08:47:03,10450,龙珠传奇,22.86666666666667,大陆,国语,35,剧情 / 爱情 / 古装
10992,20170701,精彩点,夏至未至(34)(高清),2017-07-01 08:27:29,2017-07-01 08:48:45,10204,夏至未至,21.26666666666667,大陆,国语,45,剧情 / 爱情
11039,20170701,精彩点,白鹿原(35)(高清),2017-07-01 08:28:31,2017-07-01 09:53:03,10836,白鹿原,45.0,大陆,国语,45,剧情 / 历史
11184,20170701,精彩点,太行英雄传(02)(高清),2017-07-01 08:29:52,2017-07-01 09:13:53,11005,太行英雄传,44.01666666666667,大陆,国语,45,剧情 / 战争
10684,20170701,精彩点,飞机总动员(高清),2017-07-01 08:32:51,2017-07-01 08:51:24,10770,飞机总动员,7.0,大陆,无对白,7,动画 / 短片
10684,20170701,精彩点,飞机总动员(高清)(·潘磕嫦··炻硇锌·,2017-07-01 08:32:51,2017-07-01 08:51:24,10770,飞机总动员,7.0,大陆,无对白,7,动画 / 短片
10579,20170701,热点专题,哥斯拉(高清)(史上最强怪兽重袭大银幕),2017-07-01 08:38:56,2017-07-01 09:00:35,11290,哥斯拉,21.65,日本,日语,96,剧情 / 科幻 / 恐怖
10333,20170701,精彩点,憨豆先生的大灾难(高清),2017-07-01 08:46:47,2017-07-01 09:56:32,10987,憨豆先生的大灾难,69.75,英国 / 美国,英语,90,喜剧 / 家庭
10112,20170701,精彩点,龙珠传奇(08)(高清),2017-07-01 08:47:10,2017-07-01 09:10:22,10450,龙珠传奇,23.2,大陆,国语,35,剧情 / 爱情 / 古装
10684,20170701,精彩点,飞机总动员(高清)(·潘磕嫦··炻硇锌·,2017-07-01 08:53:26,2017-07-01 09:10:32,10770,飞机总动员,7.0,大陆,无对白,7,动画 / 短片
10684,20170701,精彩点,飞机总动员(高清),2017-07-01 08:53:26,2017-07-01 09:10:32,10770,飞机总动员,7.0,大陆,无对白,7,动画 / 短片
