设备号,节目,类型,完整度,调整系数,喜爱度,观看次数
11309,金星秀,脱口秀,0.6012037037037037,0.8658740378644867,0.207,3
10313,左轮手枪,剧情 / 战争,0.7298456790123456,1.1097573172570636,0.1765,12
10566,太行英雄传,剧情 / 战争,1.0,1.3932501570056515,0.2996,1
11085,楚乔传,剧情 / 爱情 / 古装,0.6659595959595959,1.0186162581414708,0.1694,22
11196,欢乐颂2,剧情 / 爱情,0.8482917611489041,1.1051404307949244,0.2065,49
10387,人民的名义,剧情 / 悬疑 / 犯罪,0.7006060606060607,0.9628932230470417,0.1451,4
10641,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.8599663299663298,1.1013152770130943,0.2259,11
10329,夏至未至,剧情 / 爱情,0.1262962962962963,0.19291513054300993,0.0052,1
11001,铁道飞虎,喜剧 / 动作,0.48602150537634403,0.7393675027262813,0.0773,4
10413,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.6393634259259258,0.7891351098623931,0.144,36
11001,金星秀,脱口秀,0.5312606837606838,0.7651397198198556,0.2483,13
11001,笑声传奇,喜剧 / 真人秀,1.0,2.016262860935944,0.4336,1
10703,棉花糖和云朵妈妈,儿童,0.9189999999999999,1.0151472828847135,0.4138,10
10352,美国队长3,动作 / 科幻 / 冒险,0.20619369369369372,0.7484161046392807,0.0332,2
10992,左轮手枪,剧情 / 战争,0.5531623931623932,0.8411038540011829,0.1055,26
11215,夏至未至,剧情 / 爱情,0.8522222222222222,1.3017528310248263,0.2428,2
10684,特种部队,动画,0.9133333333333333,1.3688592839300582,0.2689,2
10160,夏至未至,剧情 / 爱情,0.15296296296296297,0.2336479440300971,0.0077,2
11039,白鹿原,剧情 / 历史,0.8789562289562288,1.14676257798488,0.2563,22
10992,夏至未至,剧情 / 爱情,0.492716049382716,0.752614160310022,0.0827,12
11184,太行英雄传,剧情 / 战争,0.8969074074074074,1.2496163861899023,0.2451,20
10182,疯狂动物城,喜剧 / 动画 / 冒险,0.7229357798165137,0.8167818361303061,0.127,1
10112,龙珠传奇,剧情 / 爱情 / 古装,0.7735389610389611,1.0609586702309644,0.1891,44
10684,飞机总动员,动画 / 短片,1.0,1.0,0.2151,4
10579,哥斯拉,剧情 / 科幻 / 恐怖,0.24618055555555557,1.0,0.0529,2
10333,憨豆先生的大灾难,喜剧 / 家庭,0.775,1.2320419218087613,0.2053,1
10032,爱·回家之开心速递,剧情 / 喜剧 / 家庭,0.9269675925925926,1.0077731535221415,0.8066,36
11240,楚乔传,剧情 / 爱情 / 古装,0.8436182336182336,1.290353429309633,0.2555,26
10992,老广的味道,纪录片,0.8666666666666667,1.0028289519078177,0.1869,2
10684,变形金刚3,动作 / 科幻,0.325487012987013,0.7008254022762952,0.0491,2
10718,变形金刚3,动作 / 科幻,0.5922619047619047,1.275234252354788,0.1624,2
10182,小公主苏菲亚2,动画 / 家庭 / 儿童 / 奇幻,1.0,1.3376534585773308,0.2877,1
10058,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.6803703703703705,0.8713158373831721,0.1275,1
11166,射雕英雄传,剧情 / 武侠 / 古装,0.9329629629629628,1.2216583865625745,0.2451,1
10797,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.6194685990338165,0.7933220266571974,0.1158,23
10652,跨界歌王 第二季,音乐 / 真人秀,0.5836666666666667,1.0519449868045572,0.144,2
10396,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.8247306397306396,1.0561907150384575,0.1934,22
10032,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.8921428571428571,1.1011284396895464,0.2933,21
10421,欢乐颂2,剧情 / 爱情,0.6921975308641974,0.9017834576377113,0.189,30
10781,变形金刚3,动作 / 科幻,0.5222943722943724,1.124583006279435,0.1263,1
10182,欢乐颂2,剧情 / 爱情,0.9514814814814816,1.2395742862263397,0.2536,1
10779,上古情歌,剧情 / 爱情 / 奇幻 / 古装,0.7488095238095238,0.8553408984338366,0.2947,2
11002,不懂撒娇的女人,剧情 / 喜剧 / 爱情,0.9346913580246912,1.1365555781542065,0.2285,3
10136,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.6416666666666668,0.821749966394309,0.1217,40
10266,楚乔传,剧情 / 爱情 / 古装,0.6037777777777779,0.9235062674677426,0.1274,5
10684,黑夜传说2,动作 / 惊悚 / 奇幻,0.34261006289308177,0.5878068519018075,0.0433,2
10119,今晚80后脱口秀,脱口秀,0.9500000000000001,1.2232473940844988,0.2499,3
11229,熊熊乐园,动画 / 儿童 / 冒险,0.8326923076923077,0.8993163395801884,0.161,4
10051,美国队长3,动作 / 科幻 / 冒险,0.3448198198198198,1.2515838953607195,0.0928,2
10408,欢乐颂2,剧情 / 爱情,0.618858024691358,0.8062379659116496,0.1117,12
